year_id,team_id,games,ws_win,wins,team_name
1890,CHP,138,NA,75,Chicago Pirates
1890,CIN,134,N,77,Cincinnati Reds
1890,CL4,136,N,44,Cleveland Spiders
1890,CL6,140,N,79,Columbus Solons
1890,CLP,131,NA,55,Cleveland Infants
1890,LS2,134,N,88,Louisville Colonels
1890,NY1,135,N,63,New York Giants
1890,NYP,132,NA,74,New York Giants
1890,PH4,132,N,54,Philadelphia Athletics
1890,PHI,133,N,78,Philadelphia Phillies
1890,PHP,132,NA,68,Philadelphia Athletics
1890,PIT,138,N,23,Pittsburg Alleghenys
1890,PTP,131,NA,60,Pittsburgh Burghers
1890,RC2,133,N,63,Rochester Broncos
1890,SL4,138,N,77,St. Louis Browns
1890,SR2,127,N,55,Syracuse Stars
1890,TL2,134,N,68,Toledo Maumees
1891,BL3,139,NA,71,Baltimore Orioles
1891,BRO,137,NA,61,Brooklyn Grooms
1891,BS2,139,NA,93,Boston Reds
1891,BSN,140,NA,87,Boston Beaneaters
1891,CHN,137,NA,82,Chicago Colts
1891,CIN,138,NA,56,Cincinnati Reds
1891,CL4,141,NA,65,Cleveland Spiders
1891,CL6,138,NA,61,Columbus Solons
1891,CN3,102,NA,43,Cincinnati Kelly's Killers
1891,LS2,138,NA,54,Louisville Colonels
1891,ML3,36,NA,21,Milwaukee Brewers
1891,NY1,136,NA,71,New York Giants
1891,PH4,142,NA,73,Philadelphia Athletics
1891,PHI,138,NA,68,Philadelphia Phillies
1891,PIT,137,NA,55,Pittsburgh Pirates
1891,SL4,139,NA,85,St. Louis Browns
1891,WS9,139,NA,44,Washington Statesmen
1892,BLN,152,NA,46,Baltimore Orioles
1892,BRO,158,NA,95,Brooklyn Grooms
1892,BSN,152,NA,102,Boston Beaneaters
1892,CHN,146,NA,70,Chicago Colts
1892,CIN,155,NA,82,Cincinnati Reds
1892,CL4,152,NA,93,Cleveland Spiders
1892,LS3,154,NA,63,Louisville Colonels
1892,NY1,152,NA,71,New York Giants
1892,PHI,155,NA,87,Philadelphia Phillies
1892,PIT,152,NA,80,Pittsburgh Pirates
1892,SLN,155,NA,56,St. Louis Browns
1892,WAS,153,NA,58,Washington Senators
1893,BLN,130,NA,60,Baltimore Orioles
1893,BRO,130,NA,65,Brooklyn Grooms
1893,BSN,131,NA,86,Boston Beaneaters
1893,CHN,128,NA,56,Chicago Colts
1893,CIN,131,NA,65,Cincinnati Reds
1893,CL4,129,NA,73,Cleveland Spiders
1893,LS3,126,NA,50,Louisville Colonels
1893,NY1,136,NA,68,New York Giants
1893,PHI,133,NA,72,Philadelphia Phillies
1893,PIT,131,NA,81,Pittsburgh Pirates
1893,SLN,135,NA,57,St. Louis Browns
1893,WAS,130,NA,40,Washington Senators
1894,BLN,129,NA,89,Baltimore Orioles
1894,BRO,135,NA,70,Brooklyn Grooms
1894,BSN,133,NA,83,Boston Beaneaters
1894,CHN,136,NA,57,Chicago Colts
1894,CIN,134,NA,55,Cincinnati Reds
1894,CL4,130,NA,68,Cleveland Spiders
1894,LS3,130,NA,36,Louisville Colonels
1894,NY1,139,NA,88,New York Giants
1894,PHI,132,NA,71,Philadelphia Phillies
1894,PIT,133,NA,65,Pittsburgh Pirates
1894,SLN,133,NA,56,St. Louis Browns
1894,WAS,132,NA,45,Washington Senators
1895,BLN,131,NA,87,Baltimore Orioles
1895,BRO,133,NA,71,Brooklyn Grooms
1895,BSN,133,NA,71,Boston Beaneaters
1895,CHN,133,NA,72,Chicago Colts
1895,CIN,132,NA,66,Cincinnati Reds
1895,CL4,132,NA,84,Cleveland Spiders
1895,LS3,132,NA,35,Louisville Colonels
1895,NY1,132,NA,66,New York Giants
1895,PHI,133,NA,78,Philadelphia Phillies
1895,PIT,134,NA,71,Pittsburgh Pirates
1895,SLN,136,NA,39,St. Louis Browns
1895,WAS,133,NA,43,Washington Senators
1896,BLN,132,NA,90,Baltimore Orioles
1896,BRO,133,NA,58,Brooklyn Bridegrooms
1896,BSN,132,NA,74,Boston Beaneaters
1896,CHN,132,NA,71,Chicago Colts
1896,CIN,128,NA,77,Cincinnati Reds
